id,transactionId,barcode,deleted,finalPrice,itemPrice,priceAfterCoupon,discountedItemPrice,originalFinalPrice,quantityPurchased,originalMetaBriteItemPrice,partnerItemId,metabriteCampaignId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReview,needsFetchReviewReason,originalMetaBriteBarcode,originalMetaBriteQuantityPurchased
107,37,021000678358,1,9.99,9.99,,,,1.0,,8,,,1,,,1,,,
108,37,021000678358,1,9.99,9.99,,,,1.0,,9,,,1,,,1,,,
109,38,044700033302,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
110,38,044700033302,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
111,38,044700033302,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
112,38,044700033302,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
113,38,044700033302,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
114,38,044700033302,1,9.99,9.99,,,,1.0,,6,,,1,,,1,,,
115,38,044700033302,1,9.99,9.99,,,,1.0,,7,,,1,,,1,,,
116,38,044700033302,1,9.99,9.99,,,,1.0,,8,,,1,,,1,,,
117,38,044700033302,1,9.99,9.99,,,,1.0,,9,,,1,,,1,,,
118,39,021000059232,1,10,10,,,,1.0,,1,,,1,,,1,,,
119,40,043000004944,1,1,1,,,,1.0,,1,,,1,,,1,,,
120,41,759283400082,1,1,1,,,,1.0,,1,,,1,,,1,,,
121,42,025800000135,1,5,5,,,,1.0,,1,,,1,,,1,,,
122,42,025800000135,1,5,5,,,,1.0,,2,,,1,,,1,,,
123,42,025800000135,1,5,5,,,,1.0,,3,,,1,,,1,,,
124,42,025800000135,1,5,5,,,,1.0,,4,,,1,,,1,,,
125,42,025800000135,1,5,5,,,,1.0,,5,,,1,,,1,,,
126,43,043000043486,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
127,43,043000043486,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
128,43,043000043486,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
129,43,043000043486,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
130,43,043000043486,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
131,43,043000043486,1,9.99,9.99,,,,1.0,,6,,,1,,,1,,,
